employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,OFF,E,E,E,E,OFF,OFF,OFF,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,E,OFF,OFF,E,E,E,E,E
B,E,E,OFF,OFF,OFF,E,E,E,OFF,OFF,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,OFF,OFF,OFF,E,E
C,E,E,E,L,L,OFF,OFF,OFF,OFF,L,L,L,L,OFF,OFF,E,E,E,E,OFF,OFF,L,L,L,OFF,OFF,E,E
D,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,E,L,OFF,OFF,E,E,E,E,E,OFF,OFF,L,L,L,OFF,OFF,L,L
E,E,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,E,OFF,OFF
F,L,L,L,OFF,OFF,E,E,E,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,E,L,L,L,L
G,L,L,L,OFF,OFF,L,L,OFF,OFF,E,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,E,L,L,OFF,OFF,E,E
H,E,E,E,E,E,OFF,OFF,L,L,L,OFF,OFF,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,OFF,OFF
I,L,L,L,OFF,OFF,E,E,E,E,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF
J,OFF,E,L,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,E,E,L,L,L,OFF,OFF,L,L,L,L
K,OFF,E,E,E,E,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,E,E,E,OFF,OFF,OFF,E,E,E,E,E
L,E,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,E,E,OFF,OFF,OFF,E
M,OFF,OFF,L,L,L,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,L,L
N,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF
O,L,L,OFF,OFF,OFF,L,L,L,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,L,OFF,OFF,OFF,E,E,E,E
P,OFF,OFF,OFF,E,E,E,E,L,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF
