employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,E,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,D,D,D,D,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,E,D
B,L,L,L,L,L,OFF,OFF,L,L,L,L,OFF,OFF,OFF,L,L,L,OFF,OFF,L,L,L,L,OFF,OFF,OFF,L,L
C,D,D,D,D,D,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,D,D,L,OFF,OFF,D,L,L,OFF,OFF,D,D,D,D
D,D,D,D,OFF,OFF,OFF,OFF,E,D,OFF,OFF,D,D,D,OFF,OFF,D,D,D,OFF,OFF,E,E,D,OFF,OFF,E,E
E,E,E,E,E,D,OFF,OFF,OFF,OFF,E,D,D,D,L,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,D,L,OFF,OFF
F,OFF,E,L,OFF,OFF,E,E,E,E,L,OFF,OFF,OFF,OFF,E,L,L,L,L,OFF,OFF,E,E,E,OFF,OFF,L,L
G,L,L,OFF,OFF,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,OFF,OFF,L,L,L,L,OFF,OFF,OFF
H,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L
I,D,D,D,D,D,OFF,OFF,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,OFF,OFF,D,D,OFF,OFF
J,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,OFF,OFF,E,E,E,E,OFF,OFF,OFF
K,D,D,L,L,L,OFF,OFF,OFF,OFF,D,D,D,L,L,L,OFF,OFF,OFF,D,D,D,D,D,D,OFF,OFF,OFF,OFF
L,L,OFF,OFF,OFF,E,D,D,D,D,L,OFF,OFF,OFF,OFF,E,E,E,L,L,OFF,OFF,OFF,E,E,E,E,D,D
M,OFF,OFF,OFF,E,L,OFF,OFF,OFF,E,E,E,E,OFF,OFF,OFF,E,D,L,L,L,L,OFF,OFF,OFF,E,E,D,L
N,E,E,E,E,E,OFF,OFF,OFF,OFF,E,E,E,E,D,D,OFF,OFF,OFF,E,E,E,E,E,D,OFF,OFF,OFF,OFF
O,OFF,OFF,E,D,D,D,D,L,OFF,OFF,OFF,E,L,L,L,L,L,OFF,OFF,OFF,OFF,D,D,D,L,OFF,OFF,OFF
P,OFF,OFF,D,OFF,OFF,OFF,OFF,OFF,D,L,OFF,OFF,OFF,OFF,OFF,OFF,E,D,D,OFF,OFF,OFF,L,OFF,OFF,OFF,E,D
Q,OFF,OFF,OFF,OFF,D,OFF,OFF,D,OFF,OFF,OFF,OFF,E,E,E,OFF,OFF,OFF,E,OFF,OFF,OFF,E,E,E,OFF,OFF,OFF
R,L,OFF,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,E,OFF,OFF,OFF,OFF,E,E,E,OFF,OFF,OFF,OFF,OFF,L,OFF,OFF,OFF
