employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,D,D,D,D,D,OFF,OFF,E,E,OFF,OFF,D,D,D,D,OFF,OFF,E,D,D,D,D,OFF,OFF,E,E,OFF,OFF
B,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,E,E,E,E,D,OFF,OFF,E,D,D,OFF,OFF,E,D
C,L,OFF,OFF,E,D,OFF,OFF,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,E,E,E,OFF,OFF,D,D,D,OFF,OFF
D,E,E,E,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,OFF,OFF,E,E,E,OFF,OFF,E,E,E,E,E
E,D,D,D,OFF,OFF,E,E,L,L,L,OFF,OFF,OFF,OFF,OFF,E,E,E,L,L,OFF,OFF,L,L,L,L,OFF,OFF
F,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,OFF,OFF,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF
G,E,OFF,OFF,E,E,E,E,OFF,OFF,OFF,OFF,E,E,E,E,OFF,OFF,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF
H,OFF,E,E,E,E,OFF,OFF,E,D,D,D,D,OFF,OFF,OFF,OFF,D,D,D,D,L,OFF,OFF,OFF,D,D,D,D
I,D,D,D,D,OFF,OFF,OFF,D,D,D,D,OFF,OFF,OFF,D,D,OFF,OFF,E,E,E,E,E,OFF,OFF,D,D,D
J,L,OFF,OFF,D,D,D,D,OFF,OFF,E,D,D,D,D,OFF,OFF,L,L,L,OFF,OFF,L,L,L,L,OFF,OFF,OFF
K,E,E,E,E,D,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,L,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF
L,D,D,OFF,OFF,OFF,D,D,D,L,L,L,OFF,OFF,OFF,E,E,E,D,OFF,OFF,OFF,OFF,L,L,L,L,L,L
M,E,E,E,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,D,D,D,D,D,D,OFF,OFF,OFF,D,D,L,L
N,OFF,OFF,L,L,L,L,L,L,OFF,OFF,OFF,E,E,D,D,D,L,OFF,OFF,OFF,OFF,E,D,D,D,D,OFF,OFF
O,D,D,D,D,D,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,OFF,OFF,E,E,D,D,D,D,OFF,OFF,OFF
P,OFF,OFF,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,OFF,OFF,OFF,D,D,D,D,OFF,OFF,OFF,OFF,D
Q,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,E,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,D
R,OFF,OFF,L,OFF,OFF,E,D,OFF,OFF,OFF,OFF,E,L,L,OFF,OFF,OFF,OFF,OFF,D,L,OFF,OFF,D,OFF,OFF,OFF,OFF
S,OFF,OFF,D,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,L,OFF,OFF,OFF,OFF,E
T,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,E,D,D,OFF,OFF,OFF,E,E,OFF,OFF,OFF,OFF,OFF,OFF,E
