employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,OFF,a1,a5,p2,p2,OFF,OFF,OFF,d4,d3,OFF,OFF,OFF,OFF,d1,d5,OFF,OFF,OFF,d2,d5,p3,p3,OFF,OFF,a4,d2,d5
B,a2,d5,p5,n3,OFF,OFF,OFF,p1,p1,p1,p2,OFF,OFF,a2,a2,a2,d2,OFF,OFF,a2,d5,p1,OFF,OFF,OFF,OFF,OFF,OFF
C,OFF,p5,n3,OFF,OFF,OFF,OFF,d3,n1,OFF,OFF,a1,a1,a5,OFF,OFF,OFF,a5,p2,OFF,OFF,a5,p4,n3,OFF,OFF,a3,a2
D,d3,d2,OFF,OFF,d5,p5,OFF,OFF,d5,p3,p5,OFF,OFF,OFF,a3,p4,p4,p4,p3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d5,p5
E,a4,p5,p3,p5,p1,OFF,OFF,OFF,OFF,OFF,OFF,a3,a1,a1,p5,OFF,OFF,d4,d5,OFF,OFF,OFF,OFF,OFF,OFF,d5,p5,p1
F,d5,p2,OFF,OFF,a5,p5,p2,p5,p2,OFF,OFF,d1,d2,OFF,OFF,d5,p5,n2,OFF,OFF,OFF,OFF,OFF,OFF,d2,a5,OFF,OFF
G,OFF,OFF,OFF,a3,d3,OFF,OFF,a2,d1,d5,OFF,OFF,OFF,d5,p2,OFF,OFF,d2,d5,OFF,OFF,d1,d5,OFF,OFF,d4,d5,n3
H,p3,p5,OFF,OFF,a2,d5,p4,OFF,OFF,p5,p3,OFF,OFF,OFF,d2,p5,OFF,OFF,OFF,OFF,OFF,d5,p1,p3,p1,OFF,OFF,d2
I,a5,p5,OFF,OFF,d1,a5,OFF,OFF,OFF,a5,p5,OFF,OFF,OFF,OFF,a5,p2,OFF,OFF,OFF,OFF,a4,a5,p4,OFF,OFF,p1,n2
J,d5,p3,p5,p3,p5,OFF,OFF,OFF,OFF,a1,d5,p2,p2,p2,OFF,OFF,a2,p2,p5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a2,a1
K,d1,a5,OFF,OFF,a5,p4,n2,OFF,OFF,d5,n1,OFF,OFF,OFF,OFF,d2,p5,n1,OFF,OFF,OFF,OFF,a5,p1,OFF,OFF,d5,p1
L,OFF,d1,d1,a5,p4,OFF,OFF,OFF,OFF,OFF,a3,a1,d1,d1,OFF,OFF,OFF,d3,a5,OFF,OFF,d2,a5,OFF,OFF,a4,p4,p4
M,OFF,d1,p1,p4,n1,OFF,OFF,OFF,OFF,OFF,a3,a2,a4,d5,p2,OFF,OFF,a4,n1,OFF,OFF,OFF,OFF,d2,d1,d1,d4,d5
N,d4,n2,OFF,OFF,a1,d2,a5,OFF,OFF,p4,p1,OFF,OFF,OFF,OFF,a3,a5,n3,OFF,OFF,OFF,OFF,a1,d4,OFF,OFF,a5,n3
O,p3,n2,OFF,OFF,OFF,a4,a1,a1,p3,p4,OFF,OFF,OFF,OFF,a1,p1,p5,OFF,OFF,OFF,OFF,a1,d5,p3,OFF,OFF,n3,n2
P,d3,d5,p5,p2,OFF,OFF,OFF,d2,d3,OFF,OFF,a4,d5,OFF,OFF,OFF,a1,p5,OFF,OFF,OFF,OFF,p1,p5,OFF,OFF,p2,p5
Q,a4,a4,n3,OFF,OFF,OFF,OFF,d2,p2,n2,OFF,OFF,d1,d2,p5,p3,OFF,OFF,d1,d5,p3,OFF,OFF,OFF,a2,d2,OFF,OFF
R,OFF,n3,n1,n2,n1,OFF,OFF,OFF,OFF,p4,p4,p4,n2,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d1,d5,OFF,OFF,a2,d5,n3
S,OFF,d5,n3,OFF,OFF,OFF,OFF,d3,d5,p3,n1,OFF,OFF,OFF,OFF,a1,a1,OFF,OFF,a3,a3,p5,p2,p5,OFF,OFF,n1,n3
T,OFF,d5,p5,p1,p5,OFF,OFF,OFF,OFF,OFF,p3,p1,p5,p1,OFF,OFF,a1,n2,OFF,OFF,OFF,d5,p1,OFF,OFF,a4,n3,OFF
U,a5,n2,OFF,OFF,a3,a4,OFF,OFF,d5,p5,OFF,OFF,d5,n2,OFF,OFF,a3,d3,d5,OFF,OFF,OFF,OFF,a5,p2,p2,OFF,OFF
V,a3,p1,OFF,OFF,d5,p1,n2,OFF,OFF,d2,d5,OFF,OFF,OFF,d1,p4,p5,OFF,OFF,OFF,OFF,d5,p1,p1,p1,p4,OFF,OFF
W,a5,p5,p3,OFF,OFF,OFF,OFF,OFF,a1,d3,d2,a5,OFF,OFF,OFF,OFF,OFF,OFF,d1,p5,p3,p5,OFF,OFF,d2,d2,d3,d3
X,p2,p5,OFF,OFF,OFF,OFF,OFF,OFF,p3,p4,p5,n3,OFF,OFF,OFF,p2,n2,OFF,OFF,d4,p5,n2,n1,OFF,OFF,OFF,d3,n3
Y,OFF,d5,p5,p3,p3,OFF,OFF,OFF,OFF,p4,p1,OFF,OFF,OFF,OFF,a4,p2,p5,p1,OFF,OFF,p5,p1,OFF,OFF,OFF,d5,p5
Z,OFF,d4,d3,p4,p4,OFF,OFF,OFF,OFF,d5,p1,OFF,OFF,OFF,OFF,d3,d5,n2,OFF,OFF,d5,p1,p4,OFF,OFF,OFF,a4,n2
AA,d4,d5,p2,OFF,OFF,p4,p4,OFF,OFF,d2,p2,OFF,OFF,a1,d2,p3,n1,n1,OFF,OFF,OFF,a1,a1,a1,p4,OFF,OFF,OFF
AB,a2,a4,d2,OFF,OFF,p2,p5,p2,p2,p3,OFF,OFF,OFF,OFF,a4,p2,p5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a2,d5,n2,n2
