employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,OFF,OFF,L,L,L,OFF,OFF,L,L,OFF,OFF,E,L,L,L,L,OFF,OFF,E,L,L,OFF,OFF,L,L,L,OFF,OFF
B,E,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,E,E,E,OFF,OFF,OFF,E,E,OFF,OFF,E,E,E,OFF,OFF
C,OFF,E,E,OFF,OFF,E,E,E,E,OFF,OFF,E,L,OFF,OFF,E,L,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF
D,L,OFF,OFF,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF,L,L,L,OFF,OFF,E,E,E,OFF,OFF,E,E,E,E
E,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,L,L,OFF,OFF,E,E,E,E,OFF,OFF,OFF,L,L,OFF,OFF,E,E,E
F,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,L,L,L,OFF,OFF,L,L,L,OFF,OFF,L,L,OFF,OFF,L,L,L,L,L
G,OFF,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,L,OFF,OFF,E
H,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,OFF,E,E,E,E,L,OFF,OFF
I,E,E,E,OFF,OFF,L,L,OFF,OFF,OFF,L,L,L,L,OFF,OFF,E,E,L,OFF,OFF,E,E,E,L,L,OFF,OFF
J,OFF,L,L,L,OFF,OFF,OFF,OFF,E,E,E,E,OFF,OFF,OFF,E,E,E,E,L,OFF,OFF,E,E,OFF,OFF,E,E
