employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,OFF,OFF,L,L,L,OFF,OFF,E,L,L,L,L,OFF,OFF,OFF,OFF,N,N,OFF,OFF,E,E,OFF,OFF,D,D,N,N
B,D,D,D,OFF,OFF,E,E,D,OFF,OFF,OFF,E,E,E,OFF,OFF,L,L,L,OFF,OFF,D,L,L,L,L,OFF,OFF
C,OFF,E,E,E,E,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,E,E,D,D,OFF,OFF,E,D,D,L,OFF,OFF,D,L
D,L,L,L,L,OFF,OFF,OFF,L,N,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,L,N,N,OFF,OFF,D,D,D,D,D
E,D,D,D,D,D,OFF,OFF,OFF,D,D,OFF,OFF,E,E,D,D,D,OFF,OFF,OFF,OFF,E,E,OFF,OFF,E,E,D
F,N,OFF,OFF,E,N,OFF,OFF,OFF,E,E,E,D,OFF,OFF,OFF,OFF,E,E,E,E,D,OFF,OFF,E,D,N,N,OFF
G,D,OFF,OFF,OFF,E,E,E,E,D,OFF,OFF,E,E,OFF,OFF,E,E,D,D,OFF,OFF,E,E,E,E,E,OFF,OFF
H,L,L,L,L,OFF,OFF,OFF,OFF,E,D,N,N,OFF,OFF,L,N,N,OFF,OFF,OFF,L,L,OFF,OFF,E,E,L,OFF
I,L,OFF,OFF,E,D,D,L,OFF,OFF,E,D,N,OFF,OFF,D,D,L,OFF,OFF,D,N,N,OFF,OFF,E,N,OFF,OFF
J,N,N,N,OFF,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,L,N,OFF,OFF,E,E,E,OFF,OFF
K,OFF,OFF,L,L,L,L,OFF,OFF,OFF,OFF,E,L,L,L,OFF,OFF,OFF,N,N,OFF,OFF,OFF,E,E,L,OFF,OFF,OFF
L,OFF,OFF,E,E,E,OFF,OFF,OFF,OFF,OFF,E,E,N,N,OFF,OFF,OFF,L,L,L,OFF,OFF,OFF,L,L,L,OFF,OFF
M,L,L,OFF,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,D,OFF,OFF,OFF,OFF,OFF,D,D,N,N
N,OFF,E,E,OFF,OFF,OFF,OFF,L,L,N,N,OFF,OFF,OFF,E,L,OFF,OFF,OFF,D,L,L,OFF,OFF,OFF,OFF,E,L
O,D,D,OFF,OFF,OFF,OFF,D,D,N,OFF,OFF,OFF,OFF,E,L,L,L,OFF,OFF,OFF,OFF,OFF,N,N,N,OFF,OFF,OFF
P,E,D,D,OFF,OFF,OFF,OFF,OFF,D,N,OFF,OFF,OFF,OFF,N,N,N,OFF,OFF,OFF,D,D,OFF,OFF,OFF,OFF,E,E
Q,L,OFF,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,D,OFF,OFF,D,L
R,OFF,OFF,OFF,N,N,N,OFF,OFF,OFF,E,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF
S,OFF,N,OFF,OFF,OFF,OFF,D,N,OFF,OFF,OFF,OFF,E,D,N,OFF,OFF,E,E,OFF,OFF,E,OFF,OFF,OFF,E,OFF,OFF
T,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,L,OFF,OFF,L,N,N,N,OFF,OFF,D
U,OFF,OFF,OFF,OFF,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,N,OFF,OFF,OFF,E,E,E,E,N,OFF,OFF,OFF,OFF,D,L
V,OFF,OFF,OFF,D,OFF,OFF,D,D,N,OFF,OFF,D,OFF,OFF,OFF,N,OFF,OFF,D,OFF,OFF,N,OFF,OFF,E,OFF,OFF,D
W,OFF,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,L,L
X,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,N,N,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D
Y,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,L,OFF,OFF,OFF,OFF,E,L,OFF,OFF,N,OFF,OFF,E,D,D,D,OFF,OFF,N
