employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,D,OFF,OFF,D,D,N,N,OFF,OFF,D,D,D,N,N,OFF,OFF,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF
B,E,E,E,OFF,OFF,E,E,E,D,OFF,OFF,E,E,E,N,OFF,OFF,E,N,OFF,OFF,E,E,N,N,OFF,OFF,OFF
C,D,D,D,D,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,D,N,OFF,OFF,D,D,N,N,N,OFF,OFF,D,D,OFF
D,L,L,L,L,L,OFF,OFF,L,L,L,OFF,OFF,D,D,L,L,L,OFF,OFF,D,L,OFF,OFF,D,L,L,OFF,OFF
E,E,E,OFF,OFF,D,D,D,N,OFF,OFF,E,E,E,E,OFF,OFF,N,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF
F,D,D,N,N,N,OFF,OFF,E,E,D,OFF,OFF,E,E,E,E,OFF,OFF,E,E,E,N,OFF,OFF,E,D,OFF,OFF
G,OFF,D,D,D,N,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,N,N,OFF,OFF,D,D,D,D,D,OFF,OFF,D,N
H,E,E,E,E,D,OFF,OFF,E,E,E,E,OFF,OFF,OFF,E,E,OFF,OFF,E,E,E,D,OFF,OFF,OFF,OFF,E,D
I,D,N,N,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E
J,L,N,N,OFF,OFF,L,L,L,N,N,OFF,OFF,L,L,L,OFF,OFF,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF
K,E,E,E,E,E,OFF,OFF,OFF,OFF,E,E,D,D,D,OFF,OFF,E,D,D,D,N,OFF,OFF,N,N,N,OFF,OFF
L,N,OFF,OFF,E,E,E,E,N,OFF,OFF,E,E,OFF,OFF,OFF,E,D,D,D,OFF,OFF,E,E,E,OFF,OFF,N,N
M,OFF,L,L,L,L,OFF,OFF,L,L,L,L,N,OFF,OFF,L,L,OFF,OFF,OFF,L,L,N,N,N,OFF,OFF,L,L
N,L,OFF,OFF,D,L,L,L,OFF,OFF,L,L,N,OFF,OFF,L,L,L,L,N,OFF,OFF,OFF,D,L,L,N,N,OFF
O,L,L,L,L,L,OFF,OFF,E,E,E,OFF,OFF,L,L,OFF,OFF,E,E,E,OFF,OFF,L,L,L,OFF,OFF,L,L
P,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,D,D,D,D,OFF,OFF,E,E,E,OFF,OFF,E,E
Q,L,N,OFF,OFF,OFF,L,L,L,L,N,N,OFF,OFF,OFF,E,L,L,L,OFF,OFF,OFF,L,L,L,L,L,N,OFF
R,D,D,D,D,OFF,OFF,OFF,OFF,D,D,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,D,D,D,D,D,D,OFF
S,L,L,L,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,D,L,L,L,L,L,OFF,OFF,OFF,OFF,D,D,D
T,L,L,L,L,L,OFF,OFF,OFF,L,L,L,L,OFF,OFF,OFF,D,D,L,L,L,L,OFF,OFF,OFF,E,E,E,OFF
U,E,E,E,E,E,E,OFF,OFF,OFF,D,N,N,OFF,OFF,OFF,E,E,E,E,E,E,OFF,OFF,OFF,N,N,OFF,OFF
V,OFF,OFF,OFF,L,L,L,L,L,N,OFF,OFF,OFF,E,E,D,N,N,N,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF
W,N,OFF,OFF,OFF,E,E,E,D,D,OFF,OFF,OFF,E,E,E,D,N,N,OFF,OFF,OFF,D,D,D,D,N,OFF,OFF
X,OFF,D,OFF,OFF,OFF,D,N,N,OFF,OFF,OFF,D,D,D,D,OFF,OFF,OFF,OFF,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF
Y,OFF,OFF,OFF,L,OFF,OFF,OFF,OFF,OFF,D,OFF,OFF,D,L,L,L,L,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,L,OFF
Z,OFF,E,OFF,OFF,OFF,OFF,E,N,OFF,OFF,L,L,L,L,N,OFF,OFF,OFF,OFF,OFF,E,OFF,OFF,OFF,L,OFF,OFF,OFF
AA,OFF,OFF,OFF,OFF,OFF,L,L,OFF,OFF,L,OFF,OFF,L,N,N,OFF,OFF,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AB,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,L,L,N,OFF,OFF,OFF,E,L,L,OFF,OFF,OFF,OFF,OFF,E,E
AC,OFF,OFF,OFF,OFF,OFF,D,D,OFF,OFF,N,OFF,OFF,D,OFF,D,OFF,OFF,OFF,OFF,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AD,OFF,OFF,OFF,D,OFF,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,OFF,N,OFF,OFF,OFF,L,OFF
