employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
A,e2,D,D,D,D,OFF,OFF,D,n2,OFF,OFF,e2,D,n2,OFF,OFF,e2,D,OFF,OFF,e2,D,OFF,OFF,D,D,OFF,OFF,OFF,OFF,OFF,e2,D,OFF,OFF,e2,n2,OFF,OFF,e2,D,OFF
B,D,e1,OFF,OFF,OFF,D,e1,D,e1,D,OFF,OFF,e1,e1,n1,n1,n1,OFF,OFF,D,D,OFF,OFF,D,D,n1,OFF,OFF,D,D,D,e1,e1,OFF,OFF,OFF,OFF,D,e1,D,OFF,OFF
C,n2,n1,OFF,OFF,e1,e1,e1,OFF,OFF,D,e1,e1,OFF,OFF,D,e1,n2,n1,n1,OFF,OFF,e1,e1,e1,OFF,OFF,OFF,e1,n2,n1,OFF,OFF,OFF,e1,e1,D,D,OFF,OFF,OFF,OFF,OFF
D,e1,D,D,e1,e2,OFF,OFF,OFF,OFF,e1,e2,n2,OFF,OFF,e2,e1,e2,OFF,OFF,e2,e1,OFF,OFF,e1,e1,e1,e1,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,e1,e2,OFF,OFF,OFF,e2
E,D,D,D,D,n1,OFF,OFF,e1,e1,n2,OFF,OFF,D,e1,OFF,OFF,e1,e1,n2,OFF,OFF,D,e1,n2,n1,OFF,OFF,n1,n1,OFF,OFF,OFF,OFF,OFF,D,e1,D,D,OFF,OFF,OFF,OFF
F,D,L,L,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,D,D,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,D,D,D,D,L,OFF,OFF,D,D,D,L,L,OFF
G,e1,e2,e1,e1,e2,OFF,OFF,OFF,e2,L,L,L,L,OFF,OFF,e1,e2,L,OFF,OFF,OFF,e2,L,L,OFF,OFF,e2,e1,OFF,OFF,D,D,D,e1,e2,OFF,OFF,OFF,OFF,OFF,OFF,OFF
H,D,D,e1,e1,e1,OFF,OFF,OFF,OFF,e1,e1,n1,OFF,OFF,D,D,D,OFF,OFF,D,D,n1,n1,n1,OFF,OFF,OFF,e1,D,D,D,e1,OFF,OFF,e1,D,OFF,OFF,D,e1,OFF,OFF
I,e2,L,n1,OFF,OFF,e1,e2,e1,OFF,OFF,e2,e1,OFF,OFF,OFF,OFF,e1,e2,n1,OFF,OFF,e2,e1,OFF,OFF,e2,L,L,OFF,OFF,OFF,OFF,OFF,e2,e1,e2,OFF,OFF,n1,n1,OFF,OFF
J,L,OFF,OFF,OFF,e1,D,e1,L,OFF,OFF,D,D,D,D,D,OFF,OFF,n2,n1,n1,n1,OFF,OFF,OFF,L,L,OFF,OFF,L,L,L,n2,n1,OFF,OFF,OFF,L,n2,OFF,OFF,OFF,OFF
K,e2,e1,e2,L,L,OFF,OFF,e2,e1,e2,OFF,OFF,e2,n2,OFF,OFF,OFF,e1,e2,e1,OFF,OFF,e2,n2,OFF,OFF,e2,L,L,L,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
L,D,e1,OFF,OFF,e1,D,OFF,OFF,e1,e1,e1,e1,e1,OFF,OFF,D,e1,D,e1,OFF,OFF,e1,e1,OFF,OFF,e1,D,D,e1,OFF,OFF,e1,e1,OFF,OFF,D,e1,D,e1,D,OFF,OFF
M,L,n2,OFF,OFF,OFF,e2,L,L,L,L,OFF,OFF,OFF,e2,n2,OFF,OFF,e2,D,n1,n1,OFF,OFF,e2,L,L,OFF,OFF,OFF,e2,n1,n1,OFF,OFF,OFF,e2,D,OFF,OFF,OFF,OFF,OFF
N,D,D,e1,D,D,OFF,OFF,L,L,L,L,n2,OFF,OFF,OFF,OFF,e1,e1,OFF,OFF,e1,L,L,OFF,OFF,OFF,OFF,e1,e1,e1,L,n2,OFF,OFF,L,n2,OFF,OFF,D,D,OFF,OFF
O,e1,e1,e2,OFF,OFF,e1,e2,e1,e2,n1,OFF,OFF,n1,n1,OFF,OFF,e1,e1,e2,OFF,OFF,OFF,D,D,D,D,L,OFF,OFF,OFF,OFF,e2,e1,OFF,OFF,OFF,OFF,e2,e1,OFF,OFF,OFF
P,D,D,D,D,L,OFF,OFF,L,L,L,L,OFF,OFF,L,L,n1,n1,OFF,OFF,L,L,L,L,n1,OFF,OFF,L,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,n1,OFF,OFF
Q,e1,D,D,e1,e2,OFF,OFF,e1,e2,n2,OFF,OFF,e2,e1,OFF,OFF,e1,e2,n2,OFF,OFF,OFF,OFF,e2,e1,e2,OFF,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,e2,e1
R,OFF,e1,e1,e1,e1,OFF,OFF,e1,e1,e1,e1,e1,OFF,OFF,OFF,OFF,e1,D,e1,e1,e1,OFF,OFF,e1,e1,D,n2,OFF,OFF,D,n2,OFF,OFF,e1,e1,OFF,OFF,OFF,D,n2,OFF,OFF
S,OFF,OFF,e2,D,D,D,D,OFF,OFF,OFF,OFF,e1,e1,e2,e1,e1,OFF,OFF,e2,e1,e2,n1,n1,OFF,OFF,OFF,OFF,OFF,e2,e1,e2,OFF,OFF,OFF,OFF,OFF,e2,e1,e2,OFF,OFF,OFF
T,e2,OFF,OFF,OFF,OFF,e2,e1,e2,OFF,OFF,D,n2,OFF,OFF,e2,n2,OFF,OFF,D,D,D,D,n2,OFF,OFF,e2,e1,e2,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,e2,e1,e2,OFF,OFF
U,e1,e2,e1,e2,e1,OFF,OFF,OFF,OFF,L,n2,OFF,OFF,OFF,e1,L,n2,OFF,OFF,L,L,L,L,L,OFF,OFF,e2,e1,n2,OFF,OFF,OFF,e2,L,OFF,OFF,e1,e2,OFF,OFF,OFF,OFF
V,L,OFF,OFF,L,n1,OFF,OFF,D,D,L,n2,OFF,OFF,D,n1,OFF,OFF,L,L,L,L,L,OFF,OFF,n2,n1,n1,OFF,OFF,OFF,L,n2,OFF,OFF,OFF,D,D,L,L,OFF,OFF,OFF
W,e2,L,L,L,n2,OFF,OFF,OFF,OFF,e2,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,e2,D,D,OFF,OFF,e2,n2
X,L,L,L,L,n2,OFF,OFF,e2,n1,OFF,OFF,L,n1,OFF,OFF,e2,n1,OFF,OFF,L,L,L,n2,OFF,OFF,OFF,OFF,OFF,OFF,e2,L,OFF,OFF,OFF,OFF,L,n1,OFF,OFF,OFF,e2,n2
Y,e2,OFF,OFF,L,L,L,L,OFF,OFF,e2,n1,n1,OFF,OFF,e2,L,L,OFF,OFF,e1,e2,e1,n1,n1,OFF,OFF,e1,e2,e1,e1,e1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,e2,e1,OFF,OFF
Z,e1,e1,e1,D,L,OFF,OFF,OFF,e1,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,e1,D,e1,e1,OFF,OFF,OFF,OFF,D,D,D,L,L,OFF,OFF,OFF,OFF,D,D,e1,e1,L
AA,e1,e2,OFF,OFF,e2,e1,e2,OFF,OFF,OFF,e1,e2,OFF,OFF,OFF,OFF,e1,e2,e1,e1,e2,OFF,OFF,e1,e2,n2,OFF,OFF,OFF,OFF,OFF,OFF,e1,e2,n2,OFF,OFF,e2,n2,OFF,OFF,OFF
AB,OFF,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,D,D,OFF,OFF,D,D,D,D,OFF,OFF,OFF,D,D,D,D,OFF,OFF,D,D,OFF
AC,D,e1,n1,n1,n1,OFF,OFF,e1,e1,e1,D,e1,OFF,OFF,e1,n2,OFF,OFF,e1,e1,e1,n2,OFF,OFF,D,e1,n1,OFF,OFF,e1,e1,OFF,OFF,e1,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AD,n2,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,OFF,OFF,D,D,OFF,OFF,OFF,D,D,D,n2,OFF,OFF,OFF,D,D,D,D,OFF,OFF,OFF,D,n2,OFF,OFF,D,D
AE,L,L,L,L,OFF,OFF,OFF,e2,D,D,OFF,OFF,OFF,D,L,L,L,L,L,OFF,OFF,OFF,e2,L,OFF,OFF,OFF,OFF,OFF,OFF,e2,D,L,OFF,OFF,OFF,OFF,OFF,OFF,e2,D,D
AF,e2,L,L,L,L,OFF,OFF,OFF,L,L,L,L,OFF,OFF,OFF,e2,D,L,L,n2,OFF,OFF,OFF,OFF,e2,L,L,n2,OFF,OFF,OFF,L,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AG,OFF,OFF,e2,e1,e2,OFF,OFF,OFF,e2,n1,n1,OFF,OFF,OFF,e2,e1,e2,e1,e1,OFF,OFF,OFF,e2,e1,n1,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,L,L,OFF,OFF,OFF,OFF,OFF,OFF
AH,L,L,L,n2,n1,OFF,OFF,OFF,OFF,D,e1,L,L,L,n2,OFF,OFF,OFF,e1,D,D,OFF,OFF,OFF,e1,e1,e1,e1,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,n1,OFF,OFF
AI,OFF,OFF,e2,e1,e1,e1,e1,e1,OFF,OFF,OFF,D,D,OFF,OFF,OFF,e2,e1,e2,OFF,OFF,OFF,D,D,OFF,OFF,OFF,OFF,e2,e1,OFF,OFF,OFF,OFF,OFF,e2,e1,e1,e1,e2,OFF,OFF
AJ,OFF,e1,e1,e2,e1,e2,e1,OFF,OFF,OFF,n1,n1,OFF,OFF,OFF,e2,n2,n1,OFF,OFF,OFF,e2,n2,OFF,OFF,OFF,e1,e2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,e1,e2,OFF
AK,n1,n1,n1,OFF,OFF,OFF,OFF,D,D,D,D,D,D,OFF,OFF,OFF,D,D,D,D,D,D,OFF,OFF,OFF,OFF,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,OFF
AL,e1,OFF,OFF,OFF,OFF,e1,D,e1,e1,n2,OFF,OFF,OFF,e2,e1,e1,D,e1,n2,OFF,OFF,OFF,OFF,e2,e1,OFF,OFF,OFF,e2,n2,OFF,OFF,OFF,OFF,e2,e1,e2,OFF,OFF,OFF,OFF,OFF
AM,OFF,e2,D,n2,OFF,OFF,OFF,D,n1,OFF,OFF,OFF,e2,D,D,D,D,n2,OFF,OFF,OFF,e2,D,OFF,OFF,OFF,e2,D,OFF,OFF,OFF,e2,n2,n1,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AN,n2,OFF,OFF,OFF,D,D,D,L,L,OFF,OFF,OFF,L,L,L,L,L,n2,OFF,OFF,OFF,L,n2,n1,n1,OFF,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,n1
AO,OFF,OFF,L,n1,OFF,OFF,L,L,n1,OFF,OFF,OFF,L,L,n2,OFF,OFF,OFF,D,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,e1,e1,e1,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AP,L,L,OFF,OFF,L,L,L,n2,OFF,OFF,OFF,OFF,L,n1,n1,OFF,OFF,OFF,OFF,e2,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AQ,D,n2,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,e1,D,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,n2,OFF,OFF,OFF,OFF,D,n1,OFF,OFF,OFF,OFF,OFF,OFF
AR,L,OFF,OFF,e2,e1,e1,L,L,OFF,OFF,e1,L,OFF,OFF,OFF,n1,OFF,OFF,e1,OFF,OFF,OFF,OFF,OFF,e2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,n1,OFF,OFF,L,OFF,OFF,OFF
AS,n1,OFF,OFF,e2,D,D,D,OFF,OFF,e2,D,OFF,OFF,OFF,OFF,D,OFF,OFF,D,OFF,OFF,n1,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
