employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,OFF,a1,a1,a1,a1,OFF,OFF,p1,p1,p1,OFF,OFF,p1,p1,OFF,OFF,a1,a1,a1,OFF,OFF,OFF,OFF,OFF,a1,d2,d2,d2
B,OFF,a1,a2,p1,OFF,OFF,OFF,OFF,a1,a1,a1,OFF,OFF,OFF,a1,a1,OFF,OFF,a2,a1,a2,a2,p1,OFF,OFF,a2,a1,a1
C,OFF,a1,a1,OFF,OFF,p1,p2,p1,p1,p1,OFF,OFF,OFF,OFF,OFF,a1,a1,d2,d2,OFF,OFF,OFF,OFF,a1,p2,p1,p1,p1
D,OFF,d1,d1,d1,d1,OFF,OFF,a1,a1,OFF,OFF,d1,d1,d1,OFF,OFF,d2,d1,d1,p1,p1,OFF,OFF,d1,d1,OFF,OFF,OFF
E,OFF,a2,a1,a1,OFF,OFF,OFF,a1,a2,d2,OFF,OFF,p1,p1,p1,p1,OFF,OFF,a1,d2,p1,OFF,OFF,a2,a2,a2,OFF,OFF
F,p2,p2,OFF,OFF,a2,a2,a2,a2,p2,OFF,OFF,OFF,OFF,OFF,a2,a2,a2,a2,p2,OFF,OFF,a2,a2,OFF,OFF,OFF,p2,p2
G,OFF,OFF,OFF,a1,a1,a1,a1,a1,OFF,OFF,a1,a1,a1,p1,OFF,OFF,p1,p1,p1,OFF,OFF,a1,a1,d2,d2,OFF,OFF,OFF
H,OFF,OFF,d2,d2,d2,d2,d2,OFF,OFF,OFF,d1,d1,d2,d1,OFF,OFF,a1,a1,d1,OFF,OFF,d1,p2,p1,p1,OFF,OFF,OFF
I,p2,p1,p2,OFF,OFF,p2,p2,OFF,OFF,d2,d2,d2,OFF,OFF,a2,a2,OFF,OFF,p1,p2,p1,p1,OFF,OFF,a2,p2,OFF,OFF
J,a2,p2,OFF,OFF,p1,p1,p1,p1,OFF,OFF,p2,p2,p2,p2,p2,OFF,OFF,OFF,OFF,OFF,OFF,p2,p2,p2,p2,p1,OFF,OFF
K,d1,OFF,OFF,p2,p2,p2,p2,p2,OFF,OFF,OFF,a1,a1,a1,d1,OFF,OFF,p1,p2,OFF,OFF,OFF,d1,d1,d1,d1,OFF,OFF
