employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF
B,OFF,OFF,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,L
C,L,OFF,OFF,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF
D,E,E,E,E,E,OFF,OFF,OFF,E,E,E,OFF,OFF,E
E,L,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,OFF,OFF
F,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,L,OFF,OFF
G,E,E,E,E,L,OFF,OFF,OFF,OFF,OFF,E,E,E,E
H,E,E,L,OFF,OFF,E,E,E,E,L,OFF,OFF,OFF,OFF
I,OFF,L,L,L,L,OFF,OFF,E,L,L,OFF,OFF,E,L
J,E,L,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L
K,OFF,OFF,L,OFF,OFF,OFF,OFF,OFF,L,OFF,OFF,OFF,L,L
L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,OFF,L,OFF,L,L
M,L,OFF,OFF,E,OFF,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF
N,OFF,E,OFF,OFF,OFF,OFF,OFF,OFF,E,OFF,OFF,OFF,E,E
