employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,OFF,a1,a1,a1,a1,a1,OFF,OFF,OFF,d2,d1,d1,OFF,OFF,a1,a1,a3,a2,a3,OFF,OFF,a2,p3,OFF,OFF,a1,d1,d1
B,p2,OFF,OFF,a1,a1,d3,d3,d3,OFF,OFF,a2,a2,a2,a2,a2,OFF,OFF,d3,d1,OFF,OFF,a2,a2,a1,d1,OFF,OFF,OFF
C,d2,p2,OFF,OFF,a3,d2,d3,p1,OFF,OFF,p2,p1,p1,p1,p2,OFF,OFF,d2,d2,OFF,OFF,a3,a3,d2,d3,d2,OFF,OFF
D,d1,d2,d2,d2,p3,OFF,OFF,d3,d3,p3,p3,OFF,OFF,OFF,a2,d3,d2,d1,OFF,OFF,p2,p2,p2,OFF,OFF,OFF,a1,a2
E,OFF,OFF,d3,d3,d1,OFF,OFF,d3,d1,d3,n1,n1,OFF,OFF,d1,d3,d3,d3,OFF,OFF,a3,a3,a3,a3,OFF,OFF,d1,d1
F,p2,p1,p2,p2,p1,OFF,OFF,p1,p1,n1,OFF,OFF,a1,a1,a1,OFF,OFF,OFF,d1,d2,d2,d1,OFF,OFF,a3,a1,OFF,OFF
G,a1,p1,p1,OFF,OFF,a3,a3,a3,a3,a3,OFF,OFF,OFF,OFF,d3,d2,d1,d3,d3,OFF,OFF,OFF,a1,p2,p2,p2,p2,OFF
H,a3,a3,a3,OFF,OFF,p2,p1,p2,OFF,OFF,d1,p1,OFF,OFF,p2,p2,p3,p3,p3,OFF,OFF,OFF,OFF,a3,a2,a2,a3,a3
I,OFF,a2,a2,a2,a2,OFF,OFF,OFF,OFF,p2,p2,p2,p2,p2,OFF,OFF,d2,d3,n1,OFF,OFF,OFF,OFF,OFF,a3,a3,d3,d3
J,d2,d3,n1,OFF,OFF,a2,a2,a1,a2,d2,OFF,OFF,OFF,OFF,a2,a2,a2,p3,p3,OFF,OFF,n1,n1,n1,OFF,OFF,d3,d3
